book_name,book_url,source_list,author,rating,synopsis,pages,pub_date,genres,img_url,data_source,genres_clean
Anna and the French Kiss,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss,Best Book Boyfriends,Stephanie Perkins,3.96,"Anna is looking forward to her senior year in Atlanta, where she has a great job, a loyal best friend, and a crush on the verge of becoming more. Which is why she is less than thrilled about being shipped off to boarding school in Paris--until she meets Étienne St. Clair. Smart, charming,beautiful, Étienne has it all...including a serious girlfriend.But in the City of Light, wishes have a way of coming true. Will a year of romantic near-misses end with their long-awaited French kiss?",372.0,2010,Romance|Young Adult|Contemporary|Fiction|Chick Lit|Contemporary Romance|Realistic Fiction,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1358271931i/6936382.jpg,GoodReads,"['contemporary', 'fiction', 'romance', 'young_adult']"
Love Unscripted,https://www.goodreads.com/book/show/8204005-love-unscripted,Best Book Boyfriends,Tina Reber,4.02,"An A-List Movie Star. . .Ryan Christensen just wanted to be an actor. Never in his wildest dreams did he imagine a life where fans would chase him, paparazzi would stalk him, and Hollywood studios would want to own him. While filming in Seaport, Rhode Island, Ryan ducks into a neighborhood bar for a quick escape from legions of screaming fans . . . and finds much more than he expected.A Small-Town Girl. . .Nursing a recent heartbreak, Taryn Mitchell believes men are best kept at a safe distance. But when Ryan Christensen unexpectedly bursts through the front door of her pub, she can’t help but be drawn in by his humor, charm, and undeniable good looks. At six foot two, with dirty blond hair, blue eyes, and an incredible body, Ryan has every girl in Seaport swooning. But Taryn isn’t every other girl.A Relationship That Doesn’t Follow the Script. . .Despite her better judgment, Taryn soon finds herself falling hard for Ryan. But is their bond strong enough to survive the tabloid headlines, the relentless paparazzi, and the jealous fans who seem determined to tear them apart?",668.0,2010,Romance|Contemporary|Contemporary Romance|New Adult|Adult|Chick Lit|Celebrity,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327889844i/8204005.jpg,GoodReads,"['contemporary', 'romance']"
Mansfield Park,http://books.google.de/books?id=22veSAAACAAJ&dq=subject:romance&hl=&as_pt=BOOKS&source=gbs_api,Best Book Boyfriends,Jane Austen,3.83,"A New York Times Bestselling Author -- In Jane Austen's third published novel after Sense and Sensibility and Pride and Prejudice, young Fanny Price is sent to live with her wealthy uncle and aunt, Sir Thomas and Lady Bertram, at Mansfield Park. Raised among her four cousins, Fanny -- the poor relation -- often goes unobserved in the household, making her a unique observer of the ethics, morals, attitudes and behavior of English society.",661.0,2010,Fiction,http://books.google.com/books/content?id=22veSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books,['fiction']
Tales from Moominvalley,http://books.google.de/books?id=LA1jAwAAQBAJ&dq=subject:fantasy&hl=&as_pt=BOOKS&source=gbs_api,Best Epic Fantasy,Tove Jansson,4.307692307692307,9 stories about the Moomins and their friends. Grades 4-6.,191.0,2010,Juvenile Fiction,http://books.google.com/books/content?id=LA1jAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books,"['fiction', 'young_adult']"
Hunted,https://www.goodreads.com/book/show/4134071-hunted,Books That Should Be Made Into Movies,P.C. Cast,3.93,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",336.0,2009,Young Adult|Vampires|Fantasy|Paranormal|Romance|Fiction|Supernatural,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1438042897i/4134071.jpg,GoodReads,"['fantasy', 'fiction', 'romance', 'young_adult']"
The Help,https://www.goodreads.com/book/show/4667024-the-help,Best Books Ever,Kathryn Stockett,4.47,"Three ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't.Librarian's note: An alternate cover edition can be foundhere",451.0,2009,Fiction|Historical Fiction|Book Club|Historical|Classics|Adult|Adult Fiction,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,GoodReads,"['classics', 'contemporary', 'fiction', 'historical']"
Wolf Hall,https://www.goodreads.com/book/show/6101138-wolf-hall,Best Historical Fiction,Hilary Mantel,3.91,"This is an alternative cover edition for ISBN9780007230181England in the 1520s is a heartbeat from disaster. If the king dies without a male heir, the country could be destroyed by civil war. Henry VIII wants to annul his marriage of twenty years and marry Anne Boleyn. The pope and most of Europe opposes him. Into this impasse steps Thomas Cromwell: a wholly original man, a charmer and a bully, both idealist and opportunist, astute in reading people, and implacable in his ambition. But Henry is volatile: one day tender, one day murderous. Cromwell helps him break the opposition, but what will be the price of his triumph?",653.0,2009,Historical Fiction|Fiction|Historical|Audiobook|Book Club|British Literature|Literary Fiction,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627203575i/6101138.jpg,GoodReads,"['contemporary', 'fiction', 'historical', 'literary']"
The Cry of the Icemark,http://books.google.de/books?id=NbFGJDZABOsC&dq=subject:adventure&hl=&as_pt=BOOKS&source=gbs_api,Books That Should Be Movies,Stuart Hill,4.0,Thirrin must defend her country with the help of a son of a witch and her great strength and courage.,498.0,2009,Juvenile Fiction,http://books.google.com/books/content?id=NbFGJDZABOsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,google_books,"['fiction', 'young_adult']"
Fallen,https://www.goodreads.com/book/show/6487308-fallen,Best Young Adult Books,Lauren Kate,3.72,"There’s something achingly familiar about Daniel Grigori.Mysterious and aloof, he captures Luce Price’s attention from the moment she sees him on her first day at the Sword & Cross boarding school in sultry Savannah, Georgia. He’s the one bright spot in a place where cell phones are forbidden, the other students are all screw-ups, and security cameras watch every move.Even though Daniel wants nothing to do with Luce—and goes out of his way to make that very clear—she can’t let it go. Drawn to him like a moth to a flame, she has to find out what Daniel is so desperate to keep secret… even if it kills her.",464.0,2009,Fantasy|Young Adult|Romance|Paranormal|Angels|Paranormal Romance|Fiction,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308.jpg,GoodReads,"['fantasy', 'fiction', 'romance', 'young_adult']"
The Maze Runner,https://www.goodreads.com/book/show/6186357-the-maze-runner,Best Young Adult Books,James Dashner,4.06,"There are alternate cover editions for this ASINhereandhere.If you ain’t scared, you ain’t human.When Thomas wakes up in the lift, the only thing he can remember is his name. He’s surrounded by strangers—boys whose memories are also gone.Nice to meet ya, shank. Welcome to the Glade.Outside the towering stone walls that surround the Glade is a limitless, ever-changing maze. It’s the only way out—and no one’s ever made it through alive.Everything is going to change.Then a girl arrives. The first girl ever. And the message she delivers is terrifying.Remember. Survive. Run.",384.0,2009,Young Adult|Dystopia|Science Fiction|Fiction|Fantasy|Adventure|Audiobook,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357.jpg,GoodReads,"['adventure', 'fantasy', 'fiction', 'science_fiction', 'young_adult']"
An Echo in the Bone,https://www.goodreads.com/book/show/2832909-an-echo-in-the-bone,Best Historical Fiction,Diana Gabaldon,4.44,"The seventh volume in bestselling author Diana Gabaldon’s epic Outlander saga is a masterpiece of historical fiction featuring Jamie and Claire, from one of the genre’s most popular and beloved authors.Jamie Fraser, erstwhile Jacobite and reluctant rebel, knows three things about the American rebellion: the Americans will win, unlikely as that seems in 1778; being on the winning side is no guarantee of survival; and he’d rather die than face his illegitimate son — a young lieutenant in the British Army — across the barrel of a gun. Fraser’s time-travelling wife, Claire, also knows a couple of things: that the Americans will win, but that the ultimate price of victory is a mystery. What she does believe is that the price won’t include Jamie’s life or happiness — not if she has anything to say.Claire’s grown daughter Brianna, and her husband, Roger, watch the unfolding of Brianna’s parents’ history — a past that may be sneaking up behind their own family.",820.0,2009,Historical Fiction|Romance|Fantasy|Fiction|Time Travel|Outlander|Historical,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1370918297i/2832909.jpg,GoodReads,"['fantasy', 'fiction', 'historical', 'romance']"
